weapon,tier,direction,animation,frame,pixels,components,minX,minY,maxX,maxY,boundsWidth,boundsHeight,boundsArea,edgeSides,discardedPixels,characterDistance,expressionOverlapPixels
dagger,tier1,down,idle,0,8,1,16,10,18,15,3,6,18,,0,0,0
dagger,tier1,down,idle,1,8,1,16,11,18,16,3,6,18,,0,0,0
dagger,tier1,down,walk,0,8,1,16,11,18,16,3,6,18,,0,0,0
dagger,tier1,down,walk,1,8,1,16,11,18,16,3,6,18,,0,0,0
dagger,tier1,down,walk,2,8,1,16,9,18,14,3,6,18,,0,0,0
dagger,tier1,down,walk,3,8,1,16,11,18,16,3,6,18,,0,0,0
dagger,tier1,down,attack,0,8,1,16,9,18,14,3,6,18,,0,0,0
dagger,tier1,down,attack,1,8,1,15,12,17,17,3,6,18,,0,0,0
dagger,tier1,down,attack,2,8,1,16,12,18,17,3,6,18,,0,0,0
dagger,tier1,down,attack,3,8,1,16,10,18,15,3,6,18,,0,0,0
dagger,tier1,down,hurt,0,8,1,15,10,17,15,3,6,18,,0,0,0
dagger,tier1,down,hurt,1,8,1,16,10,18,15,3,6,18,,0,0,0
dagger,tier1,left,idle,0,8,1,5,11,7,16,3,6,18,,0,1,0
dagger,tier1,left,idle,1,8,1,5,12,7,17,3,6,18,,0,1,0
dagger,tier1,left,walk,0,8,1,5,10,7,15,3,6,18,,0,1,0
dagger,tier1,left,walk,1,8,1,5,12,7,17,3,6,18,,0,1,0
dagger,tier1,left,walk,2,8,1,5,12,7,17,3,6,18,,0,2,0
dagger,tier1,left,walk,3,8,1,5,12,7,17,3,6,18,,0,1,0
dagger,tier1,left,attack,0,8,1,5,8,7,13,3,6,18,,0,1,0
dagger,tier1,left,attack,1,8,1,5,13,10,15,6,3,18,,0,0,0
dagger,tier1,left,attack,2,8,1,5,12,10,14,6,3,18,,0,0,0
dagger,tier1,left,attack,3,8,1,5,11,7,16,3,6,18,,0,1,0
dagger,tier1,left,hurt,0,8,1,5,12,7,17,3,6,18,,0,2,0
dagger,tier1,left,hurt,1,8,1,5,11,7,16,3,6,18,,0,1,0
dagger,tier1,right,idle,0,8,1,16,11,18,16,3,6,18,,0,1,0
dagger,tier1,right,idle,1,8,1,16,12,18,17,3,6,18,,0,1,0
dagger,tier1,right,walk,0,8,1,16,12,18,17,3,6,18,,0,2,0
dagger,tier1,right,walk,1,8,1,16,12,18,17,3,6,18,,0,1,0
dagger,tier1,right,walk,2,8,1,16,10,18,15,3,6,18,,0,1,0
dagger,tier1,right,walk,3,8,1,16,12,18,17,3,6,18,,0,1,0
dagger,tier1,right,attack,0,8,1,16,8,18,13,3,6,18,,0,1,0
dagger,tier1,right,attack,1,8,1,13,13,18,15,6,3,18,,0,0,0
dagger,tier1,right,attack,2,8,1,13,12,18,14,6,3,18,,0,0,0
dagger,tier1,right,attack,3,8,1,16,11,18,16,3,6,18,,0,1,0
dagger,tier1,right,hurt,0,8,1,16,12,18,17,3,6,18,,0,2,0
dagger,tier1,right,hurt,1,8,1,16,11,18,16,3,6,18,,0,1,0
dagger,tier1,up,idle,0,8,1,5,11,7,16,3,6,18,,0,0,0
dagger,tier1,up,idle,1,8,1,5,12,7,17,3,6,18,,0,0,0
dagger,tier1,up,walk,0,8,1,5,12,7,17,3,6,18,,0,0,0
dagger,tier1,up,walk,1,8,1,5,12,7,17,3,6,18,,0,0,0
dagger,tier1,up,walk,2,8,1,5,10,7,15,3,6,18,,0,0,0
dagger,tier1,up,walk,3,8,1,5,12,7,17,3,6,18,,0,0,0
dagger,tier1,up,attack,0,8,1,5,12,7,17,3,6,18,,0,0,0
dagger,tier1,up,attack,1,8,1,6,7,8,12,3,6,18,,0,0,0
dagger,tier1,up,attack,2,8,1,5,7,7,12,3,6,18,,0,0,0
dagger,tier1,up,attack,3,8,1,5,11,7,16,3,6,18,,0,0,0
dagger,tier1,up,hurt,0,8,1,6,11,8,16,3,6,18,,0,0,0
dagger,tier1,up,hurt,1,8,1,5,11,7,16,3,6,18,,0,0,0
dagger,tier2,down,idle,0,12,1,16,9,18,15,3,7,21,,0,0,0
dagger,tier2,down,idle,1,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier2,down,walk,0,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier2,down,walk,1,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier2,down,walk,2,12,1,16,8,18,14,3,7,21,,0,0,0
dagger,tier2,down,walk,3,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier2,down,attack,0,12,1,16,8,18,14,3,7,21,,0,0,0
dagger,tier2,down,attack,1,12,1,15,12,17,18,3,7,21,,0,0,0
dagger,tier2,down,attack,2,12,1,16,12,18,18,3,7,21,,0,0,0
dagger,tier2,down,attack,3,12,1,16,9,18,15,3,7,21,,0,0,0
dagger,tier2,down,hurt,0,12,1,15,9,17,15,3,7,21,,0,0,0
dagger,tier2,down,hurt,1,12,1,16,9,18,15,3,7,21,,0,0,0
dagger,tier2,left,idle,0,12,1,5,10,7,16,3,7,21,,0,1,0
dagger,tier2,left,idle,1,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier2,left,walk,0,12,1,5,9,7,15,3,7,21,,0,1,0
dagger,tier2,left,walk,1,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier2,left,walk,2,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier2,left,walk,3,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier2,left,attack,0,12,1,5,7,7,13,3,7,21,,0,1,0
dagger,tier2,left,attack,1,12,1,4,13,10,15,7,3,21,,0,0,0
dagger,tier2,left,attack,2,12,1,4,12,10,14,7,3,21,,0,0,0
dagger,tier2,left,attack,3,12,1,5,10,7,16,3,7,21,,0,1,0
dagger,tier2,left,hurt,0,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier2,left,hurt,1,12,1,5,10,7,16,3,7,21,,0,1,0
dagger,tier2,right,idle,0,12,1,16,10,18,16,3,7,21,,0,1,0
dagger,tier2,right,idle,1,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier2,right,walk,0,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier2,right,walk,1,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier2,right,walk,2,12,1,16,9,18,15,3,7,21,,0,1,0
dagger,tier2,right,walk,3,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier2,right,attack,0,12,1,16,7,18,13,3,7,21,,0,1,0
dagger,tier2,right,attack,1,12,1,13,13,19,15,7,3,21,,0,0,0
dagger,tier2,right,attack,2,12,1,13,12,19,14,7,3,21,,0,0,0
dagger,tier2,right,attack,3,12,1,16,10,18,16,3,7,21,,0,1,0
dagger,tier2,right,hurt,0,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier2,right,hurt,1,12,1,16,10,18,16,3,7,21,,0,1,0
dagger,tier2,up,idle,0,12,1,5,10,7,16,3,7,21,,0,0,0
dagger,tier2,up,idle,1,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier2,up,walk,0,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier2,up,walk,1,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier2,up,walk,2,12,1,5,9,7,15,3,7,21,,0,0,0
dagger,tier2,up,walk,3,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier2,up,attack,0,12,1,5,12,7,18,3,7,21,,0,0,0
