weapon,tier,averagePixels,averageBoundsArea,maximumComponents,edgeDirections,discardedFrames,discardedPixels
dagger,tier1,8,18,1,0,0,0
dagger,tier2,12,21,1,0,0,0
dagger,tier3,12,21,1,0,0,0
dagger,tier4,15,27,1,0,0,0
dagger,tier5,19,45,1,0,0,0
axe,tier1,16.25,27.75,1,0,0,0
axe,tier2,22.25,46.25,1,0,0,0
axe,tier3,27.5,61.5,1,4,0,0
axe,tier4,31.5,71.75,1,4,0,0
axe,tier5,41.5,81,1,0,0,0
warhammer,tier1,22.25,71.75,1,4,0,0
warhammer,tier2,28.25,71.75,1,4,0,0
warhammer,tier3,32.25,92.25,1,4,0,0
warhammer,tier4,39.25,92.25,1,4,0,0
warhammer,tier5,42.25,92.25,1,4,0,0
bow,tier1,24.5,66,1,0,0,0
bow,tier2,26.5,78,1,0,0,0
bow,tier3,28.5,78,1,0,0,0
bow,tier4,34.5,105,1,0,0,0
bow,tier5,41.5,127.5,1,0,0,0
staff,tier1,13.75,39,1,0,0,0
staff,tier2,18.75,41.5,1,2,0,0
staff,tier3,20.75,61.25,1,2,0,0
staff,tier4,24,73.5,1,2,0,0
staff,tier5,32,73.5,1,2,0,0
wand,tier1,10,23.25,1,0,0,0
wand,tier2,13,25.5,1,0,0,0
wand,tier3,15,42.5,1,0,0,0
wand,tier4,17.5,45,1,2,0,0
wand,tier5,21.5,45,1,2,0,0
spellbook,tier1,12,16,1,0,0,0
spellbook,tier2,16,20,1,0,0,0
spellbook,tier3,27,36,1,0,0,0
spellbook,tier4,32,42,1,0,0,0
spellbook,tier5,40,56,1,0,0,0
